year,death_rate,drug_deaths,state_codes,state_names,state_census_area,state_abb,state_sightings,duration,changing,chevron,cigar,circle,cone,cross,cylinder,diamond,disk,egg,fireball,flash,formation,light,other,oval,rectangle,sphere,teardrop,triangle,unknown,id,state,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,-0.385218228,GEO_ID,NAME,population,B01003_001M
2014.0,18.2,"1,172",18,Indiana,35826.109,in,1386.0,3094.7977633477635,25.0,11.0,32.0,129.0,5.0,1.0,23.0,20.0,92.0,11.0,127.0,22.0,39.0,283.0,98.0,62.0,23.0,95.0,9.0,155.0,102.0,18.0,Indiana,IN,15.2,0.4,37.4,0.2,49446.0,487.0,14.8,13.8,15.8,32.7,31.5,33.9,22.9,21.8,24.1,,0400000US18,Indiana,6596855,*****
2014.0,8.8,264,19,Iowa,55857.13,ia,707.0,949.6265912305516,21.0,8.0,15.0,59.0,2.0,,5.0,8.0,36.0,3.0,54.0,12.0,20.0,172.0,33.0,35.0,10.0,33.0,8.0,111.0,53.0,19.0,Iowa,IA,12.2,0.5,38.2,0.1,53712.0,761.0,7.7,6.8,8.6,30.9,29.6,32.3,18.5,17.3,19.7,,0400000US19,Iowa,3107126,*****
2014.0,11.7,332,20,Kansas,81758.717,ks,653.0,1514.7143950995405,11.0,4.0,19.0,53.0,3.0,8.0,12.0,8.0,32.0,9.0,51.0,12.0,19.0,146.0,53.0,18.0,8.0,44.0,10.0,69.0,49.0,20.0,Kansas,KS,13.6,0.5,36.2,0.1,52504.0,706.0,14.5,13.7,15.3,31.3,30.3,32.2,18.1,17.2,18.9,,0400000US20,Kansas,2904021,*****
2014.0,24.7,"1,077",21,Kentucky,39486.338,ky,914.0,4205.386761487965,30.0,10.0,34.0,92.0,2.0,3.0,11.0,14.0,68.0,6.0,70.0,9.0,15.0,179.0,68.0,35.0,19.0,54.0,4.0,110.0,68.0,21.0,Kentucky,KY,19.1,0.5,38.5,0.2,42958.0,697.0,10.0,8.8,11.1,31.6,30.2,33.1,26.2,24.7,27.7,,0400000US21,Kentucky,4413457,*****
2014.0,16.9,777,22,Louisiana,43203.905,la,598.0,11481.57525083612,16.0,5.0,18.0,59.0,,,11.0,5.0,29.0,2.0,42.0,6.0,18.0,129.0,32.0,34.0,10.0,46.0,11.0,73.0,40.0,22.0,Louisiana,LA,19.8,0.5,36.1,0.1,44555.0,738.0,18.7,17.4,20.0,34.9,33.4,36.4,24.0,22.6,25.4,,0400000US22,Louisiana,4649676,*****
2014.0,16.8,216,23,Maine,30842.923,me,633.0,3066.4311216429696,9.0,3.0,18.0,75.0,,5.0,10.0,10.0,36.0,2.0,50.0,11.0,12.0,139.0,38.0,35.0,8.0,51.0,6.0,65.0,33.0,23.0,Maine,ME,14.1,0.7,44.1,0.2,49462.0,1112.0,11.0,10.0,12.0,28.2,26.9,29.5,19.3,18.1,20.5,,0400000US23,Maine,1330089,*****
2014.0,17.4,"1,070",24,Maryland,9707.241,md,911.0,833.7807903402854,25.0,10.0,30.0,89.0,,,14.0,11.0,69.0,7.0,54.0,20.0,32.0,171.0,62.0,49.0,13.0,70.0,7.0,95.0,64.0,24.0,Maryland,MD,10.1,0.4,38.3,0.1,73971.0,867.0,9.2,8.0,10.4,29.6,28.1,31.1,14.6,13.4,15.9,,0400000US24,Maryland,5976407,*****
2014.0,19.0,"1,289",25,Massachusetts,7800.058,ma,1358.0,1312.1877761413843,30.0,16.0,31.0,127.0,6.0,2.0,24.0,25.0,89.0,14.0,97.0,20.0,33.0,255.0,103.0,86.0,24.0,100.0,13.0,139.0,104.0,25.0,Massachusetts,MA,11.6,0.3,39.4,0.2,69160.0,957.0,4.6,4.0,5.2,23.3,22.3,24.4,14.7,13.7,15.7,,0400000US25,Massachusetts,6745408,*****
2014.0,18.0,"1,762",26,Michigan,56538.901,mi,2071.0,3885.088652824722,45.0,11.0,47.0,170.0,10.0,4.0,28.0,32.0,149.0,17.0,188.0,28.0,64.0,427.0,130.0,96.0,39.0,132.0,19.0,239.0,137.0,26.0,Michigan,MI,16.2,0.3,39.6,0.1,49847.0,385.0,10.3,9.3,11.2,30.7,29.4,32.0,21.2,20.0,22.5,,0400000US26,Michigan,9909877,*****
2014.0,9.6,517,27,Minnesota,79626.743,mn,1081.0,1411.120564292322,19.0,19.0,26.0,99.0,1.0,4.0,10.0,17.0,62.0,10.0,64.0,20.0,50.0,231.0,71.0,46.0,24.0,70.0,12.0,132.0,76.0,27.0,Minnesota,MN,11.5,0.4,37.8,0.1,61481.0,471.0,7.3,6.7,7.9,27.6,26.8,28.5,16.3,15.6,17.0,,0400000US27,Minnesota,5457173,*****
2014.0,11.6,336,28,Mississippi,46923.274,ms,415.0,8784.190361445782,8.0,4.0,11.0,45.0,1.0,1.0,12.0,4.0,36.0,5.0,24.0,9.0,6.0,75.0,32.0,17.0,7.0,24.0,4.0,51.0,31.0,28.0,Mississippi,MS,21.5,0.6,36.7,0.2,39680.0,773.0,18.8,17.0,20.7,35.5,33.4,37.6,23.0,21.0,24.9,,0400000US28,Mississippi,2994079,*****
