"child","value","parent"
"flashesof light",1,"lightform"
"flashiing lights",1,"lightform"
"flashings lights",1,"lightform"
"flashinng light",1,"lightform"
"flashy light",1,"lightform"
"flat light",1,"lightform"
"flicker lights",1,"lightform"
"flickered lights",1,"lightform"
"flicking light",1,"lightform"
"flicking lights",1,"lightform"
"florecent light",1,"lightform"
"floresent light",1,"lightform"
"florida light",1,"lightform"
"florscent lights",1,"lightform"
"flourescent lights",1,"lightform"
"flourscent light",1,"lightform"
"flshing lights",1,"lightform"
"fluorcent lights",1,"lightform"
"fluttering light",1,"lightform"
"fluxuating light",1,"lightform"
"fly lights",1,"lightform"
"foggy light",1,"lightform"
"follow light",1,"lightform"
"foreign lights",1,"lightform"
"formed lights",1,"lightform"
"forms light",1,"lightform"
"forward lights",1,"lightform"
"frankfort lights",1,"lightform"
"freaky lights",1,"lightform"
"freeway light",1,"lightform"
"freeway lights",1,"lightform"
"frequent lights",1,"lightform"
"frequently lights",1,"lightform"
"frogging lights",1,"lightform"
"frosty lights",1,"lightform"
"fuchsia lights",1,"lightform"
"gaseous lights",1,"lightform"
"gaslike lights",1,"lightform"
"geen light",1,"lightform"
"gelaming light",1,"lightform"
"geting light",1,"lightform"
"ghostly lights",1,"lightform"
"giant lights",1,"lightform"
"gilbert light",1,"lightform"
"gliding light",1,"lightform"
"gliding lights",1,"lightform"
"glimering lights",1,"lightform"
"glimmering light",1,"lightform"
"glittering lights",1,"lightform"
"glitterly light",1,"lightform"
"globular lights",1,"lightform"
"goin light",1,"lightform"
"goldish lights",1,"lightform"
"gray light",1,"lightform"
"greel light",1,"lightform"
"greenleaf light",1,"lightform"
"greyish lights",1,"lightform"
"hair light",1,"lightform"
"half light",1,"lightform"
"halloween lights",1,"lightform"
"halo lights",1,"lightform"
"haloed lights",1,"lightform"
"halogen light",1,"lightform"
"halogen lights",1,"lightform"
"hanging light",1,"lightform"
"hanging lights",1,"lightform"
"harbor light",1,"lightform"
"hazed lights",1,"lightform"
"head light",1,"lightform"
"heat light",1,"lightform"
"height light",1,"lightform"
"height lights",1,"lightform"
"helicopter lights",1,"lightform"
"hight lights",1,"lightform"
"hiway lights",1,"lightform"
"hoovering light",1,"lightform"
"hoovering lights",1,"lightform"
"horizon light",1,"lightform"
"horizon lights",1,"lightform"
"hotel light",1,"lightform"
"hours light",1,"lightform"
"house lights",1,"lightform"
"housing lights",1,"lightform"
"hover lights",1,"lightform"
"hoving light",1,"lightform"
"hub light",1,"lightform"
"hugh light",1,"lightform"
"ident lights",1,"lightform"
"identical lights",1,"lightform"
"identified lights",1,"lightform"
"identifier lights",1,"lightform"
"illinois lights",1,"lightform"
"illuminous light",1,"lightform"
"imense light",1,"lightform"
"immense light",1,"lightform"
"immense lights",1,"lightform"
"incandescent light",1,"lightform"
"increasing light",1,"lightform"
"indep lights",1,"lightform"
"independent lights",1,"lightform"
"indescribble light",1,"lightform"
"indianapolis lights",1,"lightform"
"indicator lights",1,"lightform"
"indistinguishable light",1,"lightform"
"indiviadual light",1,"lightform"
"infrared lights",1,"lightform"
"inlaid lights",1,"lightform"
"insane lights",1,"lightform"
"instant light",1,"lightform"
"instantly lights",1,"lightform"
"intelligent light",1,"lightform"
"intensifying lights",1,"lightform"
"intensity lights",1,"lightform"
"intermittant light",1,"lightform"
"internal light",1,"lightform"
"intersecting lights",1,"lightform"
"investigate light",1,"lightform"
"investigated light",1,"lightform"
"involving light",1,"lightform"
"irane light",1,"lightform"
"irratically light",1,"lightform"
"irregular lights",1,"lightform"
"irridescent light",1,"lightform"
"jersey light",1,"lightform"
"joined lights",1,"lightform"
"jumping light",1,"lightform"
"jumping lights",1,"lightform"
"jutting light",1,"lightform"
"kaleidoscope lights",1,"lightform"
"lacked lights",1,"lightform"
"lager light",1,"lightform"
"lamp light",1,"lightform"
"largest light",1,"lightform"
"lawn lights",1,"lightform"
"leading light",1,"lightform"
"leaves light",1,"lightform"
"leaving light",1,"lightform"
"led lights",1,"lightform"
"length lights",1,"lightform"
"leo light",1,"lightform"
"lesser light",1,"lightform"
"level light",1,"lightform"
"lewisville lights",1,"lightform"
"lights.two lights",1,"lightform"
"line light",1,"lightform"
"line lights",1,"lightform"
"linear light",1,"lightform"
"linear lights",1,"lightform"
"littles lights",1,"lightform"
"lonely light",1,"lightform"
"lot lights",1,"lightform"
"loving light",1,"lightform"
"lower light",1,"lightform"
"lubbock lights",1,"lightform"
"luminating light",1,"lightform"
"luminating lights",1,"lightform"
"luminescent light",1,"lightform"
"luminiscent lights",1,"lightform"
"luminocity light",1,"lightform"
"lunock light",1,"lightform"
"magenta light",1,"lightform"
"magenta lights",1,"lightform"
"magnitude light",1,"lightform"
"maine light",1,"lightform"
"major lights",1,"lightform"
"manuevering lights",1,"lightform"
"marfa lights",1,"lightform"
"maricopa lights",1,"lightform"
"markers lights",1,"lightform"
"maroon lights",1,"lightform"
"mathimatical lights",1,"lightform"
"matialic light",1,"lightform"
"mercurial lights",1,"lightform"
"metalic light",1,"lightform"
"metallic lights",1,"lightform"
"meters lights",1,"lightform"
"mexico light",1,"lightform"
"midnight light",1,"lightform"
"migrating light",1,"lightform"
"miles light",1,"lightform"
"milford light",1,"lightform"
"miniture light",1,"lightform"
"mins light",1,"lightform"
"misterious lights",1,"lightform"
"modesto lights",1,"lightform"
"moon lights",1,"lightform"
"moon.the lights",1,"lightform"
"morning light",1,"lightform"
"morning lights",1,"lightform"
"mountain lights",1,"lightform"
"mountains.the light",1,"lightform"
"moveing light",1,"lightform"
"movements light",1,"lightform"
"movings lights",1,"lightform"
"mph light",1,"lightform"
"msty light",1,"lightform"
"mtn lights",1,"lightform"
"mulitcolored lights",1,"lightform"
"multi lights",1,"lightform"
"multicolered light",1,"lightform"
"multicolor light",1,"lightform"
"muticolored lights",1,"lightform"
"mysteriose lights",1,"lightform"
"mysterius lights",1,"lightform"
"navigation light",1,"lightform"
"nebr lights",1,"lightform"
"nevada light",1,"lightform"
"nickel light",1,"lightform"
"nighttime lights",1,"lightform"
"nocturanal lights",1,"lightform"
"nocturnal light",1,"lightform"
"noiseless light",1,"lightform"
"noisless light",1,"lightform"
"nonblinking lights",1,"lightform"
"nonmoving light",1,"lightform"
"north light",1,"lightform"
"north.the light",1,"lightform"
"northern light",1,"lightform"
"note lights",1,"lightform"
"noted lights",1,"lightform"
"notice lights",1,"lightform"
"objectwith lights",1,"lightform"
"obvious lights",1,"lightform"
"occasional light",1,"lightform"
"ohio light",1,"lightform"
"ominous light",1,"lightform"
"opalic light",1,"lightform"
"opaque light",1,"lightform"
"opposing lights",1,"lightform"
"oragnge lights",1,"lightform"
"oranage lights",1,"lightform"
"orande lights",1,"lightform"
"orang light",1,"lightform"
"orangeishred light",1,"lightform"
"orangelike lights",1,"lightform"
"orangey light",1,"lightform"
"orangy light",1,"lightform"
"orbed lights",1,"lightform"
"orbish light",1,"lightform"
"orbish lights",1,"lightform"
"orbital lights",1,"lightform"
"orbiting light",1,"lightform"
"orbitting light",1,"lightform"
"orblike lights",1,"lightform"
"orbs light",1,"lightform"
"ord light",1,"lightform"
"orenge light",1,"lightform"
"organge lights",1,"lightform"
"organic light",1,"lightform"
"organic lights",1,"lightform"
"organized light",1,"lightform"
"orion light",1,"lightform"
"ornage lights",1,"lightform"
"other.second light",1,"lightform"
"outline lights",1,"lightform"
"ovular light",1,"lightform"
"p.m lights",1,"lightform"
"paced light",1,"lightform"
"paired lights",1,"lightform"
"pale lights",1,"lightform"
"palsing light",1,"lightform"
"paluseing lights",1,"lightform"
"panel lights",1,"lightform"
"panning light",1,"lightform"
"paralell light",1,"lightform"
"paralyzing light",1,"lightform"
"parrallel lights",1,"lightform"
"pattern light",1,"lightform"
"patterned light",1,"lightform"
"paused lights",1,"lightform"
"pecular light",1,"lightform"
"perfecct lights",1,"lightform"
"perfect lights",1,"lightform"
"perimiter lights",1,"lightform"
"peripheral lights",1,"lightform"
"perpendicular light",1,"lightform"
"persistent light",1,"lightform"
"pheonix lights",1,"lightform"
"phosphorous light",1,"lightform"
"photoflash light",1,"lightform"
"pinpoint light",1,"lightform"
"pinprick lights",1,"lightform"
"plain light",1,"lightform"
"planet light",1,"lightform"
"plant light",1,"lightform"
"plasma light",1,"lightform"
"plasma lights",1,"lightform"
"pole light",1,"lightform"
"police light",1,"lightform"
"porthole lights",1,"lightform"
"position lights",1,"lightform"
"possiblt light",1,"lightform"
"post light",1,"lightform"
"powerful light",1,"lightform"
"powerfull light",1,"lightform"
"primatic lights",1,"lightform"
"probe light",1,"lightform"
"produced light",1,"lightform"
"producing light",1,"lightform"
"pronounced light",1,"lightform"
"pulising lights",1,"lightform"
"pulsation lights",1,"lightform"
"pulsationg lights",1,"lightform"
"pulse light",1,"lightform"
"pulseating light",1,"lightform"
"purplish light",1,"lightform"
"pursue lights",1,"lightform"
"pusling light",1,"lightform"
"puyallup light",1,"lightform"
"quality light",1,"lightform"
"radial light",1,"lightform"
"radiant light",1,"lightform"
"radiate light",1,"lightform"
"radiated light",1,"lightform"
"railroad light",1,"lightform"
"raining lights",1,"lightform"
"raspberry lights",1,"lightform"
"rays light",1,"lightform"
"real lights",1,"lightform"
"rear light",1,"lightform"
"rearview lights",1,"lightform"
"recessed light",1,"lightform"
"recessed lights",1,"lightform"
"recognized light",1,"lightform"
"rectagler lights",1,"lightform"
"rectanglar light",1,"lightform"
"recurring light",1,"lightform"
"reflect light",1,"lightform"
"reflecting lights",1,"lightform"
"reflective light",1,"lightform"
"relecting light",1,"lightform"
"repeating light",1,"lightform"
"reported light",1,"lightform"
"reported lights",1,"lightform"
"resort lights",1,"lightform"
"retracting light",1,"lightform"
"retrograde lights",1,"lightform"
"return light",1,"lightform"
"rippled lights",1,"lightform"
"rising light",1,"lightform"
"river lights",1,"lightform"
"road light",1,"lightform"
"road lights",1,"lightform"
"roanoke light",1,"lightform"
"rolling lights",1,"lightform"
"rotated lights",1,"lightform"
"rotation light",1,"lightform"
"rotaton lights",1,"lightform"
"rounded lights",1,"lightform"
"roundish light",1,"lightform"
"rounds lights",1,"lightform"
"roving light",1,"lightform"
"row lights",1,"lightform"
"ruby light",1,"lightform"
"runner lights",1,"lightform"
"sacramento light",1,"lightform"
"sagged light",1,"lightform"
"satelite light",1,"lightform"
"satellite light",1,"lightform"
"sating lights",1,"lightform"
"scanner light",1,"lightform"
"scattered lights",1,"lightform"
"scooting light",1,"lightform"
"scope lights",1,"lightform"
"scrolling lights",1,"lightform"
"seattle lights",1,"lightform"
"secend light",1,"lightform"
"security light",1,"lightform"
"segmented light",1,"lightform"
"segmented lights",1,"lightform"
"separated light",1,"lightform"
"seperate light",1,"lightform"
"seperated lights",1,"lightform"
"sequence lights",1,"lightform"
"sequencing lights",1,"lightform"
"sequential light",1,"lightform"
"set lights",1,"lightform"
"shadowy light",1,"lightform"
"shadowy lights",1,"lightform"
"shage light",1,"lightform"
"shaking light",1,"lightform"
"shap light",1,"lightform"
"shaping lights",1,"lightform"
"shapped lights",1,"lightform"
"shaprd light",1,"lightform"
"sharp lights",1,"lightform"
"shimmered light",1,"lightform"
"shined lights",1,"lightform"
"shines lights",1,"lightform"
"shining lights",1,"lightform"
"shinning lights",1,"lightform"
"shone light",1,"lightform"
"shone lights",1,"lightform"
"shoots light",1,"lightform"
"shpaed light",1,"lightform"
"shrinking light",1,"lightform"
"shrinking lights",1,"lightform"
"shrouded lights",1,"lightform"
"sight lights",1,"lightform"
"sighted light",1,"lightform"
"signal light",1,"lightform"
"silver lights",1,"lightform"
"silverish light",1,"lightform"
"simular light",1,"lightform"
"single lights",1,"lightform"
"sky.the light",1,"lightform"
"slanted light",1,"lightform"
"slightly light",1,"lightform"
"sliver light",1,"lightform"
"soaring lights",1,"lightform"
"softest light",1,"lightform"
"softwhite light",1,"lightform"
"sound light",1,"lightform"
"sound.the lights",1,"lightform"
"south lights",1,"lightform"
"southeast lights",1,"lightform"
"southwest light",1,"lightform"
"southwest.one light",1,"lightform"
"sparking lights",1,"lightform"
"sparkler lights",1,"lightform"
"spere lights",1,"lightform"
"sperical lights",1,"lightform"
"spheric light",1,"lightform"
"spining lights",1,"lightform"
"spiraling light",1,"lightform"
"spiraling lights",1,"lightform"
"spirally light",1,"lightform"
"spirals lights",1,"lightform"
"splitting light",1,"lightform"
"spooky light",1,"lightform"
"sporadic light",1,"lightform"
"sporatic lights",1,"lightform"
"spots lights",1,"lightform"
"spotted light",1,"lightform"
"spread lights",1,"lightform"
"srobing lights",1,"lightform"
"sse lights",1,"lightform"
"staionary light",1,"lightform"
"staium lights",1,"lightform"
"standard lights",1,"lightform"
"stars lights",1,"lightform"
"starshaped light",1,"lightform"
"starsized light",1,"lightform"
"stationairy light",1,"lightform"
"stationery lights",1,"lightform"
"statiopnary lights",1,"lightform"
"steaking light",1,"lightform"
"steet light",1,"lightform"
"stobe light",1,"lightform"
"stobeing light",1,"lightform"
"stop lights",1,"lightform"
"stopped lights",1,"lightform"
"stopping light",1,"lightform"
"straight light",1,"lightform"
"stranges lights",1,"lightform"
"strangest light",1,"lightform"
"streak light",1,"lightform"
"streaming lights",1,"lightform"
"streetlights lights",1,"lightform"
"striped light",1,"lightform"
"strob light",1,"lightform"
"strob lights",1,"lightform"
"strobeing light",1,"lightform"
"strobeing lights",1,"lightform"
"stroboscopic light",1,"lightform"
"studied lights",1,"lightform"
"style light",1,"lightform"
"style lights",1,"lightform"
"successive lights",1,"lightform"
"sudden light",1,"lightform"
"sudden lights",1,"lightform"
"suddenly lights",1,"lightform"
"suns light",1,"lightform"
"super light",1,"lightform"
"surrounding light",1,"lightform"
"sustained lights",1,"lightform"
"swaying light",1,"lightform"
"symmetrical light",1,"lightform"
"symmetrical lights",1,"lightform"
"synchronicity lights",1,"lightform"
"syncronised lights",1,"lightform"
"tall light",1,"lightform"
"tandem lights",1,"lightform"
"taveling lights",1,"lightform"
"teardrop lights",1,"lightform"
"terrific light",1,"lightform"
"thee lights",1,"lightform"
"theone light",1,"lightform"
"thoughs lights",1,"lightform"
"tinged light",1,"lightform"
"tinkerbell lights",1,"lightform"
"tinny lights",1,"lightform"
"tinted light",1,"lightform"
"tip lights",1,"lightform"
"top lights",1,"lightform"
"traded light",1,"lightform"
"tradition light",1,"lightform"
"trafic light",1,"lightform"
"traingular light",1,"lightform"
"trange lights",1,"lightform"
"trangulair light",1,"lightform"
"transforming light",1,"lightform"
"trapizoidal light",1,"lightform"
"traversing light",1,"lightform"
"triad lights",1,"lightform"
"triangal lights",1,"lightform"
"triange lights",1,"lightform"
"triangler lights",1,"lightform"
"tubular light",1,"lightform"
"tumbling lights",1,"lightform"
"twinking light",1,"lightform"
"twitchy light",1,"lightform"
"twored lights",1,"lightform"
"ufl lights",1,"lightform"
"unblinkng light",1,"lightform"
"underneath lights",1,"lightform"
"underside lights",1,"lightform"
"undulating lights",1,"lightform"
"unexplanable light",1,"lightform"
"unexplanable lights",1,"lightform"
"unk light",1,"lightform"
"unknow light",1,"lightform"
"unknowm light",1,"lightform"
"unnatural lights",1,"lightform"
"unsual light",1,"lightform"
"upper light",1,"lightform"
"vague light",1,"lightform"
"valley lights",1,"lightform"
"variable light",1,"lightform"
"variouse lights",1,"lightform"
"venus light",1,"lightform"
"virginia lights",1,"lightform"
"visable lights",1,"lightform"
"vivid lights",1,"lightform"
"wandering light",1,"lightform"
"wandering lights",1,"lightform"
"washington light",1,"lightform"
"washington lights",1,"lightform"
"wayne lights",1,"lightform"
"weard light",1,"lightform"
"wheel lights",1,"lightform"
"when3 lights",1,"lightform"
"whie light",1,"lightform"
"whiite light",1,"lightform"
"whilte lights",1,"lightform"
"whiteish lights",1,"lightform"
"whites light",1,"lightform"
"whitest light",1,"lightform"
"whitle lights",1,"lightform"
"whittish light",1,"lightform"
"wht lights",1,"lightform"
"wihte light",1,"lightform"
"window light",1,"lightform"
"window lights",1,"lightform"
"windows lights",1,"lightform"
"wing light",1,"lightform"
"winged lights",1,"lightform"
"winking lights",1,"lightform"
"wird light",1,"lightform"
"wite light",1,"lightform"
"withflood lights",1,"lightform"
"withfour lights",1,"lightform"
"withred lights",1,"lightform"
"witnessed light",1,"lightform"
"witnessed lights",1,"lightform"
"wobbly lights",1,"lightform"
"wonderful light",1,"lightform"
"woods light",1,"lightform"
"xenon light",1,"lightform"
"xmas lights",1,"lightform"
"yelllow lights",1,"lightform"
"yellowgreen light",1,"lightform"
"yellowich lights",1,"lightform"
"yellowship light",1,"lightform"
"yellowstone lights",1,"lightform"
"yelow lights",1,"lightform"
"yelowish lights",1,"lightform"
"yoing light",1,"lightform"
"zag lights",1,"lightform"
"zagging lights",1,"lightform"
"zaging light",1,"lightform"
"zigzagging lights",1,"lightform"
"zippy light",1,"lightform"
"zooming light",1,"lightform"
"orange fireball",281,"fireball"
"green fireball",249,"fireball"
"orange fireballs",109,"fireball"
"red fireball",88,"fireball"
"bright fireball",54,"fireball"
"white fireball",48,"fireball"
"quot fireball",46,"fireball"
"blue fireball",38,"fireball"
"red fireballs",32,"fireball"
"moving fireball",26,"fireball"
"glowing fireball",24,"fireball"
"yellow fireball",23,"fireball"
"huge fireball",19,"fireball"
"quot fireballs",18,"fireball"
"round fireball",10,"fireball"
"greenish fireball",9,"fireball"
"flying fireball",8,"fireball"
"light fireball",8,"fireball"
"amber fireball",7,"fireball"
"lights fireballs",7,"fireball"
"oval fireball",7,"fireball"
"single fireball",7,"fireball"
"strange fireball",7,"fireball"
"glowing fireballs",6,"fireball"
"silent fireball",6,"fireball"
"blueish fireball",5,"fireball"
"falling fireball",5,"fireball"
"floating fireball",5,"fireball"
"flying fireballs",5,"fireball"
"green fireballs",5,"fireball"
"hovering fireball",5,"fireball"
"moving fireballs",5,"fireball"
"multiple fireballs",5,"fireball"
"silent fireballs",5,"fireball"
"streaking fireball",5,"fireball"
"yellow fireballs",5,"fireball"
"brilliant fireball",4,"fireball"
"circular fireball",4,"fireball"
"flickering fireball",4,"fireball"
"giant fireball",4,"fireball"
"lit fireball",4,"fireball"
"orb fireball",4,"fireball"
"orbs fireballs",4,"fireball"
"pulsating fireball",4,"fireball"
"reddish fireball",4,"fireball"
"shaped fireball",4,"fireball"
"spherical fireball",4,"fireball"
"white fireballs",4,"fireball"
"blue fireballs",3,"fireball"
"bright fireballs",3,"fireball"
"burning fireball",3,"fireball"
"color fireball",3,"fireball"
"colored fireball",3,"fireball"
"dramatic fireball",3,"fireball"
"flaming fireball",3,"fireball"
"orangish fireball",3,"fireball"
"pulsing fireball",3,"fireball"
"round fireballs",3,"fireball"
"sized fireball",3,"fireball"
"sky fireball",3,"fireball"
"stationary fireballs",3,"fireball"
"44orange fireball",2,"fireball"
"altitude fireball",2,"fireball"
"amazing fireball",2,"fireball"
"bluegreen fireball",2,"fireball"
"bluish fireball",2,"fireball"
"california fireball",2,"fireball"
"changing fireball",2,"fireball"
"dancing fireball",2,"fireball"
"dropping fireballs",2,"fireball"
"gold fireball",2,"fireball"
"golden fireball",2,"fireball"
"ish fireball",2,"fireball"
"lights fireball",2,"fireball"
"lone fireball",2,"fireball"
"meteor fireball",2,"fireball"
"michigan fireball",2,"fireball"
"morning fireball",2,"fireball"
"multicolored fireball",2,"fireball"
"object fireball",2,"fireball"
"pink fireball",2,"fireball"
"pulsating fireballs",2,"fireball"
"reddish fireballs",2,"fireball"
"redish fireball",2,"fireball"
"reports fireball",2,"fireball"
"slow fireball",2,"fireball"
"sphere fireball",2,"fireball"
"stationary fireball",2,"fireball"
"strange fireballs",2,"fireball"
"teardrop fireball",2,"fireball"
"ten fireballs",2,"fireball"
"unusual fireball",2,"fireball"
"yellowish fireball",2,"fireball"
"30pm fireball",1,"fireball"
"agiant fireball",1,"fireball"
"alleged fireball",1,"fireball"
"amber fireballs",1,"fireball"
"apearing fireball",1,"fireball"
"bight fireballs",1,"fireball"
"blazing fireball",1,"fireball"
"blurry fireball",1,"fireball"
"boiling fireball",1,"fireball"
"bound fireball",1,"fireball"
"chose fireball",1,"fireball"
"circles fireballs",1,"fireball"
"circular fireballs",1,"fireball"
"close fireball",1,"fireball"
"closeby fireball",1,"fireball"
"comet fireball",1,"fireball"
"confirm fireball",1,"fireball"
"controled fireball",1,"fireball"
"controlled fireballs",1,"fireball"
"corvallis fireball",1,"fireball"
"craft fireball",1,"fireball"
"crazy fireballs",1,"fireball"
"cylindrical fireball",1,"fireball"
"decending fireball",1,"fireball"
"definate fireball",1,"fireball"
"descending fireball",1,"fireball"
"disc fireballs",1,"fireball"
"dividing fireball",1,"fireball"
"dozen fireballs",1,"fireball"
"eastbound fireball",1,"fireball"
"eggshaped fireball",1,"fireball"
"emitting fireballs",1,"fireball"
"energy fireball",1,"fireball"
"enormous fireball",1,"fireball"
"exits fireball",1,"fireball"
"exploding fireball",1,"fireball"
"falling fireballs",1,"fireball"
"fast fireballs",1,"fireball"
"fire fireball",1,"fireball"
"flame fireball",1,"fireball"
"flash fireball",1,"fireball"
"flickering fireballs",1,"fireball"
"florida fireball",1,"fireball"
"fluoriscent fireball",1,"fireball"
"formation fireballs",1,"fireball"
"formations fireballs",1,"fireball"
"friday fireball",1,"fireball"
"giant fireballs",1,"fireball"
"glo fireball",1,"fireball"
"glod fireballs",1,"fireball"
"gold fireballs",1,"fireball"
"gree fireball",1,"fireball"
"grren fireball",1,"fireball"
"hazy fireball",1,"fireball"
"hoax fireball",1,"fireball"
"horizontal fireball",1,"fireball"
"houston fireball",1,"fireball"
"hrs fireball",1,"fireball"
"huge fireballs",1,"fireball"
"illuminated fireball",1,"fireball"
"incredible fireball",1,"fireball"
"individual fireball",1,"fireball"
"interactive fireballs",1,"fireball"
"ish fireballs",1,"fireball"
"july fireball",1,"fireball"
"kennedy fireball",1,"fireball"
"lasting fireball",1,"fireball"
"lenght fireball",1,"fireball"
"lighted fireballs",1,"fireball"
"lit fireballs",1,"fireball"
"lived fireball",1,"fireball"
"main fireball",1,"fireball"
"manuevering fireballs",1,"fireball"
"massive fireball",1,"fireball"
"medium fireball",1,"fireball"
"meteir fireball",1,"fireball"
"meteorite fireball",1,"fireball"
"mini fireballs",1,"fireball"
"minutes fireball",1,"fireball"
"moon fireball",1,"fireball"
"morphing fireball",1,"fireball"
"night fireball",1,"fireball"
"nighttime fireball",1,"fireball"
"notice fireballs",1,"fireball"
"noticed fireball",1,"fireball"
"observed fireball",1,"fireball"
"odd fireball",1,"fireball"
"oklahoma fireball",1,"fireball"
"orand fireball",1,"fireball"
"orangeish fireballs",1,"fireball"
"oranges fireball",1,"fireball"
"orb fireballs",1,"fireball"
"ord fireball",1,"fireball"
"ornage fireball",1,"fireball"
"ovoid fireball",1,"fireball"
"person fireball",1,"fireball"
"prange fireball",1,"fireball"
"purple fireball",1,"fireball"
"quiet fireball",1,"fireball"
"recorded fireball",1,"fireball"
"rectangular fireball",1,"fireball"
"report fireball",1,"fireball"
"reveals fireball",1,"fireball"
"rising fireball",1,"fireball"
"scanning fireball",1,"fireball"
"separate fireballs",1,"fireball"
"shaped fireballs",1,"fireball"
"shapes fireball",1,"fireball"
"shooting fireball",1,"fireball"
"sighted fireball",1,"fireball"
"size fireball",1,"fireball"
"smokeless fireball",1,"fireball"
"smoking fireball",1,"fireball"
"solitary fireball",1,"fireball"
"soundless fireball",1,"fireball"
"sparking fireball",1,"fireball"
"sparkling fireballs",1,"fireball"
"star fireball",1,"fireball"
"steaking fireball",1,"fireball"
"streaking fireballs",1,"fireball"
"strrange fireball",1,"fireball"
"sunset fireball",1,"fireball"
"thirteen fireballs",1,"fireball"
"tinged fireball",1,"fireball"
"tinted fireball",1,"fireball"
"trailing fireballs",1,"fireball"
"trajectory fireball",1,"fireball"
"turqouise fireball",1,"fireball"
"type fireball",1,"fireball"
"ufos fireballs",1,"fireball"
"undefinable fireball",1,"fireball"
"unexplained fireball",1,"fireball"
"unmoving fireball",1,"fireball"
"unusual fireballs",1,"fireball"
"vegas fireball",1,"fireball"
"violet fireball",1,"fireball"
"virginia fireballs",1,"fireball"
"visible fireballs",1,"fireball"
"wavy fireball",1,"fireball"
"weird fireball",1,"fireball"
"wings fireball",1,"fireball"
"witness fireball",1,"fireball"
"witnessing fireball",1,"fireball"
"yellowish fireballs",1,"fireball"
"zaging fireball",1,"fireball"
"black triangle",253,"triangle"
"flying triangle",43,"triangle"
"huge triangle",40,"triangle"
"dark triangle",36,"triangle"
"perfect triangle",30,"triangle"
"moving triangle",29,"triangle"
"silent triangle",27,"triangle"
"orange triangle",26,"triangle"
"red triangle",23,"triangle"
"light triangle",16,"triangle"
"white triangle",16,"triangle"
"form triangle",15,"triangle"
"black triangles",13,"triangle"
"bright triangle",13,"triangle"
"equilateral triangle",13,"triangle"
"lighted triangle",13,"triangle"
"forming triangle",12,"triangle"
"green triangle",11,"triangle"
"glowing triangle",9,"triangle"
"hovering triangle",9,"triangle"
"strange triangle",9,"triangle"
"giant triangle",8,"triangle"
"isosceles triangle",8,"triangle"
"formed triangle",7,"triangle"
"red triangles",7,"triangle"
"silver triangle",7,"triangle"
"gray triangle",6,"triangle"
"lights triangle",6,"triangle"
"massive triangle",5,"triangle"
"transparent triangle",5,"triangle"
"elongated triangle",4,"triangle"
"gigantic triangle",4,"triangle"
"orange triangles",4,"triangle"
"quot triangle",4,"triangle"
"rounded triangle",4,"triangle"
"vertical triangle",4,"triangle"
"yellow triangle",4,"triangle"
"altitude triangle",3,"triangle"
"cloaked triangle",3,"triangle"
"close triangle",3,"triangle"
"delta triangle",3,"triangle"
"enormous triangle",3,"triangle"
"fast triangle",3,"triangle"
"grey triangle",3,"triangle"
"illuminated triangle",3,"triangle"
"irregular triangle",3,"triangle"
"lit triangle",3,"triangle"
"morphing triangle",3,"triangle"
"shape triangle",3,"triangle"
"shaped triangle",3,"triangle"
"blinking triangle",2,"triangle"
"blk triangle",2,"triangle"
"blue triangle",2,"triangle"
"blue triangles",2,"triangle"
"boomerang triangle",2,"triangle"
"brown triangle",2,"triangle"
"chevron triangle",2,"triangle"
"classic triangle",2,"triangle"
"colored triangle",2,"triangle"
"dark triangles",2,"triangle"
"dim triangle",2,"triangle"
"dot triangle",2,"triangle"
"elongated triangles",2,"triangle"
"floating triangle",2,"triangle"
"flying triangles",2,"triangle"
"forming triangles",2,"triangle"
"glowing triangles",2,"triangle"
"gold triangle",2,"triangle"
"golden triangle",2,"triangle"
"hoax triangle",2,"triangle"
"illuminated triangles",2,"triangle"
"inverted triangle",2,"triangle"
"lit triangles",2,"triangle"
"loose triangle",2,"triangle"
"luminous triangles",2,"triangle"
"metal triangle",2,"triangle"
"metalic triangle",2,"triangle"
"metallic triangle",2,"triangle"
"multiple triangle",2,"triangle"
"multiple triangles",2,"triangle"
"observed triangle",2,"triangle"
"obtuse triangle",2,"triangle"
"rotating triangle",2,"triangle"
"sharp triangle",2,"triangle"
"shimmering triangle",2,"triangle"
"silvery triangle",2,"triangle"
"single triangle",2,"triangle"
"slow triangle",2,"triangle"
"spots triangle",2,"triangle"
"square triangle",2,"triangle"
"stationary triangle",2,"triangle"
"tight triangle",2,"triangle"
"translucent triangle",2,"triangle"
"transparent triangles",2,"triangle"
"white triangles",2,"triangle"
"39s triangle",1,"triangle"
"44a triangle",1,"triangle"
"44id triangle",1,"triangle"
"abrupt triangle",1,"triangle"
"acute triangle",1,"triangle"
"aircraft triangle",1,"triangle"
"airplane triangle",1,"triangle"
"aligned triangle",1,"triangle"
"amber triangle",1,"triangle"
"amber triangles",1,"triangle"
"angeles triangle",1,"triangle"
"arizona triangle",1,"triangle"
"arrowhead triangle",1,"triangle"
"backward triangle",1,"triangle"
"beach triangle",1,"triangle"
"beautiful triangle",1,"triangle"
"bermuda triangle",1,"triangle"
"boomerange triangle",1,"triangle"
"bronze triangle",1,"triangle"
"burning triangle",1,"triangle"
"canyon triangle",1,"triangle"
