"child","value","parent"
"marker lights",6,"lightform"
"multi light",6,"lightform"
"multiple light",6,"lightform"
"numerous lights",6,"lightform"
"pink lights",6,"lightform"
"redish light",6,"lightform"
"search lights",6,"lightform"
"shooting light",6,"lightform"
"strong light",6,"lightform"
"translucent light",6,"lightform"
"turquoise light",6,"lightform"
"unblinking lights",6,"lightform"
"unidentified light",6,"lightform"
"altitude lights",5,"lightform"
"blueish lights",5,"lightform"
"brightest lights",5,"lightform"
"brite lights",5,"lightform"
"central light",5,"lightform"
"chasing lights",5,"lightform"
"craft lights",5,"lightform"
"fire light",5,"lightform"
"fire lights",5,"lightform"
"individual lights",5,"lightform"
"intense lights",5,"lightform"
"light light",5,"lightform"
"lights lights",5,"lightform"
"luminous light",5,"lightform"
"motionless light",5,"lightform"
"navigational lights",5,"lightform"
"object lights",5,"lightform"
"pattern lights",5,"lightform"
"plane lights",5,"lightform"
"rainbow lights",5,"lightform"
"random lights",5,"lightform"
"shimmering lights",5,"lightform"
"size light",5,"lightform"
"size lights",5,"lightform"
"sized lights",5,"lightform"
"slow light",5,"lightform"
"sparkling light",5,"lightform"
"speed light",5,"lightform"
"speeding light",5,"lightform"
"star lights",5,"lightform"
"starlike light",5,"lightform"
"starlike lights",5,"lightform"
"synchronized lights",5,"lightform"
"tail lights",5,"lightform"
"trailing light",5,"lightform"
"visible light",5,"lightform"
"whitish lights",5,"lightform"
"zigzagging light",5,"lightform"
"3rd light",4,"lightform"
"4th light",4,"lightform"
"aircraft light",4,"lightform"
"airplane light",4,"lightform"
"arc light",4,"lightform"
"beaming light",4,"lightform"
"birght light",4,"lightform"
"bizarre lights",4,"lightform"
"christmas lights",4,"lightform"
"connected lights",4,"lightform"
"constant light",4,"lightform"
"cylinder light",4,"lightform"
"cylindrical lights",4,"lightform"
"darting light",4,"lightform"
"dimmed lights",4,"lightform"
"disappearing light",4,"lightform"
"elongated light",4,"lightform"
"fading light",4,"lightform"
"flood light",4,"lightform"
"fourth light",4,"lightform"
"front lights",4,"lightform"
"illuminating light",4,"lightform"
"ish light",4,"lightform"
"larger lights",4,"lightform"
"led light",4,"lightform"
"looked light",4,"lightform"
"main light",4,"lightform"
"mini lights",4,"lightform"
"motionless lights",4,"lightform"
"mystery light",4,"lightform"
"nocturnal lights",4,"lightform"
"noticed light",4,"lightform"
"noticed lights",4,"lightform"
"objects lights",4,"lightform"
"orangeish lights",4,"lightform"
"orbiting lights",4,"lightform"
"oscillating lights",4,"lightform"
"peculiar light",4,"lightform"
"pinpoint lights",4,"lightform"
"reflected light",4,"lightform"
"revolving light",4,"lightform"
"seperate lights",4,"lightform"
"spaced lights",4,"lightform"
"speed lights",4,"lightform"
"spinning light",4,"lightform"
"swirling light",4,"lightform"
"ten lights",4,"lightform"
"tiny light",4,"lightform"
"traveling lights",4,"lightform"
"twin lights",4,"lightform"
"unexplainable lights",4,"lightform"
"unidentifiable lights",4,"lightform"
"visible lights",4,"lightform"
"watched light",4,"lightform"
"whites lights",4,"lightform"
"wing lights",4,"lightform"
"44blue lights",3,"lightform"
"44red lights",3,"lightform"
"44with lights",3,"lightform"
"appearing lights",3,"lightform"
"beacon light",3,"lightform"
"bight lights",3,"lightform"
"blinding lights",3,"lightform"
"bobbing light",3,"lightform"
"brighter light",3,"lightform"
"candle light",3,"lightform"
"close lights",3,"lightform"
