State,Sightings,Duration,Changing,Chevron,Cigar,Circle,Cone,Cross,Cylinder,Diamond,Disk,Egg,Fireball,Flash,Formation,Light,Other,Oval,Rectangle,Sphere,Teardrop,Triangle,Unknown
Minnesota,1081,1411.120564292322,19.0,19.0,26.0,99.0,1.0,4.0,10.0,17.0,62.0,10.0,64.0,20.0,50.0,231.0,71.0,46.0,24.0,70.0,12.0,132.0,76.0
Mississippi,415,8784.190361445782,8.0,4.0,11.0,45.0,1.0,1.0,12.0,4.0,36.0,5.0,24.0,9.0,6.0,75.0,32.0,17.0,7.0,24.0,4.0,51.0,31.0
Missouri,1576,1144.3881979695432,34.0,28.0,56.0,110.0,5.0,4.0,37.0,23.0,102.0,9.0,132.0,15.0,26.0,328.0,116.0,61.0,23.0,113.0,14.0,192.0,118.0
Montana,510,2148.7235294117645,12.0,8.0,11.0,33.0,1.0,2.0,3.0,10.0,32.0,4.0,57.0,11.0,15.0,115.0,27.0,28.0,5.0,28.0,3.0,38.0,49.0
Nebraska,405,1063.5654320987655,9.0,3.0,15.0,36.0,2.0,1.0,4.0,7.0,21.0,3.0,27.0,4.0,9.0,87.0,33.0,15.0,13.0,33.0,7.0,36.0,31.0
Nevada,905,2926.0165193370167,23.0,15.0,25.0,73.0,3.0,1.0,18.0,10.0,56.0,5.0,51.0,15.0,38.0,183.0,78.0,55.0,13.0,65.0,9.0,65.0,75.0
New Hampshire,535,2141.6028037383176,16.0,3.0,19.0,53.0,3.0,,7.0,11.0,40.0,5.0,31.0,4.0,13.0,125.0,33.0,22.0,16.0,37.0,5.0,44.0,42.0
New Jersey,1512,5299.992341269841,27.0,16.0,37.0,151.0,8.0,4.0,23.0,21.0,140.0,11.0,126.0,27.0,39.0,274.0,120.0,83.0,28.0,99.0,13.0,136.0,104.0
New Mexico,815,5185.816674846626,31.0,11.0,18.0,62.0,13.0,3.0,18.0,15.0,56.0,7.0,44.0,19.0,19.0,171.0,56.0,34.0,20.0,49.0,11.0,56.0,72.0
New York,3219,2914.7115719167446,73.0,47.0,91.0,331.0,10.0,11.0,44.0,51.0,239.0,42.0,240.0,59.0,93.0,622.0,215.0,177.0,53.0,191.0,36.0,314.0,211.0
North Carolina,1869,1281.8316479400748,42.0,28.0,50.0,192.0,8.0,6.0,30.0,25.0,117.0,15.0,135.0,29.0,63.0,392.0,117.0,80.0,32.0,136.0,16.0,192.0,143.0
North Dakota,138,1105.4057971014493,5.0,1.0,4.0,10.0,,,3.0,4.0,12.0,1.0,5.0,3.0,1.0,20.0,14.0,6.0,3.0,4.0,4.0,26.0,6.0
Ohio,2425,1576.1877731958766,57.0,18.0,61.0,230.0,13.0,9.0,42.0,40.0,157.0,23.0,238.0,30.0,75.0,472.0,150.0,114.0,35.0,190.0,21.0,267.0,157.0
Oklahoma,766,14929.384203655354,23.0,8.0,30.0,71.0,6.0,4.0,15.0,8.0,48.0,3.0,54.0,13.0,25.0,157.0,56.0,32.0,17.0,38.0,7.0,71.0,70.0
Oregon,1845,1064.2104498644987,51.0,22.0,50.0,178.0,5.0,8.0,36.0,24.0,86.0,13.0,128.0,33.0,51.0,421.0,124.0,78.0,22.0,137.0,15.0,155.0,125.0
Pennsylvania,2582,3990.1130906274207,43.0,17.0,79.0,247.0,16.0,7.0,34.0,36.0,175.0,26.0,234.0,31.0,90.0,514.0,178.0,134.0,42.0,154.0,25.0,250.0,190.0
Rhode Island,290,1811.8810344827587,3.0,9.0,4.0,35.0,2.0,,6.0,5.0,26.0,9.0,23.0,3.0,13.0,51.0,21.0,5.0,6.0,13.0,4.0,28.0,17.0
