State,Changing,Chevron,Cigar,Circle,Cone,Cross,Cylinder,Diamond,Disk,Egg,Fireball,Flash,Formation,Light,Other,Oval,Rectangle,Sphere,Teardrop,Triangle,Unknown
nm,31.0,11.0,18.0,62.0,13.0,3.0,18.0,15.0,56.0,7.0,44.0,19.0,19.0,171.0,56.0,34.0,20.0,49.0,11.0,56.0,72.0
ns,1.0,,5.0,13.0,,1.0,1.0,2.0,3.0,2.0,11.0,3.0,3.0,48.0,13.0,5.0,1.0,10.0,1.0,7.0,12.0
nt,1.0,1.0,1.0,3.0,,,,,1.0,,2.0,,,5.0,1.0,1.0,1.0,1.0,,,2.0
nv,23.0,15.0,25.0,73.0,3.0,1.0,18.0,10.0,56.0,5.0,51.0,15.0,38.0,183.0,78.0,55.0,13.0,65.0,9.0,65.0,75.0
ny,73.0,47.0,91.0,331.0,10.0,11.0,44.0,51.0,239.0,42.0,240.0,59.0,93.0,622.0,215.0,177.0,53.0,191.0,36.0,314.0,211.0
oh,57.0,18.0,61.0,230.0,13.0,9.0,42.0,40.0,157.0,23.0,238.0,30.0,75.0,472.0,150.0,114.0,35.0,190.0,21.0,267.0,157.0
ok,23.0,8.0,30.0,71.0,6.0,4.0,15.0,8.0,48.0,3.0,54.0,13.0,25.0,157.0,56.0,32.0,17.0,38.0,7.0,71.0,70.0
on,34.0,26.0,46.0,172.0,7.0,4.0,29.0,19.0,95.0,15.0,138.0,32.0,43.0,324.0,106.0,67.0,29.0,126.0,14.0,141.0,93.0
or,51.0,22.0,50.0,178.0,5.0,8.0,36.0,24.0,86.0,13.0,128.0,33.0,51.0,421.0,124.0,78.0,22.0,137.0,15.0,155.0,125.0
pa,43.0,17.0,79.0,247.0,16.0,7.0,34.0,36.0,175.0,26.0,234.0,31.0,90.0,514.0,178.0,134.0,42.0,154.0,25.0,250.0,190.0
pe,1.0,,,2.0,,,,1.0,1.0,,3.0,,,3.0,1.0,2.0,2.0,,,1.0,
pq,3.0,,3.0,5.0,,,2.0,2.0,4.0,1.0,5.0,1.0,10.0,17.0,6.0,2.0,2.0,11.0,,10.0,4.0
pr,1.0,,2.0,3.0,,1.0,,2.0,4.0,1.0,1.0,,1.0,1.0,3.0,4.0,,3.0,,1.0,3.0
qc,9.0,,5.0,13.0,,,2.0,7.0,12.0,3.0,8.0,3.0,8.0,35.0,19.0,12.0,2.0,13.0,3.0,12.0,10.0
ri,3.0,9.0,4.0,35.0,2.0,,6.0,5.0,26.0,9.0,23.0,3.0,13.0,51.0,21.0,5.0,6.0,13.0,4.0,28.0,17.0
sa,,3.0,2.0,1.0,,,,2.0,3.0,,,2.0,1.0,4.0,2.0,3.0,,,1.0,4.0,2.0
