datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,year,month
1/1/2014 18:46,san diego,ca,us,unknown,45,45 seconds,Two dark objects less than two miles away&#44 moving east then separating and accelerating north at a miraculous rate of speed.,1/10/2014,32.7153,-117.1564,2014.0,1.0
1/1/2014 19:00,brenda,az,us,circle,300,5 minutes,Five yellow orange objects flying at same altitude slightly above hills to south east of us.,1/10/2014,33.6797,-113.9439,2014.0,1.0
1/1/2014 19:30,pittsburgh,pa,us,circle,900,15 minutes,Four orange-red lights over Pittsburgh&#44 PA dropping smaller orange lights.,1/10/2014,40.4406,-79.9961,2014.0,1.0
1/1/2014 19:45,boston,ma,us,egg,900,15 minutes,Over Boston&#44 4 bright orange lights approach separately&#44 hover&#44 then recede to the South East.,1/10/2014,42.3583,-71.0603,2014.0,1.0
1/1/2014 20:00,louisville,ky,us,sphere,300,5 minutes,Three large orange spheres traveling&#44 then turning independently of one another in night sky.,3/18/2014,38.2542,-85.7594,2014.0,1.0
1/1/2014 20:15,pittsburgh,pa,us,fireball,120,2 minutes,4 ufos in pittsburgh pa area.,1/10/2014,40.4406,-79.9961,2014.0,1.0
1/1/2014 20:30,hickory,nc,us,triangle,60,1 minute,(3) Yellowish/Orange spheres in the shape of a triangle.,1/16/2014,35.7331,-81.3414,2014.0,1.0
1/1/2014 21:00,great falls,mt,us,sphere,30,30 seconds,Observes 2 orange spheres flying North over Great Falls Montana.,1/10/2014,47.5003,-111.3,2014.0,1.0
1/1/2014 21:30,spokane,wa,us,light,30,30 seconds,Orange/red light in the sky moving from east to west seen in southern sky gone 30 seconds after spotted.,1/10/2014,47.6589,-117.425,2014.0,1.0
1/1/2014 22:00,mount ephraim,nj,us,circle,600,10 minutes,Circular craft spotted in Mount Ephraim&#44 NJ.,1/10/2014,39.8783,-75.0931,2014.0,1.0
1/1/2014 22:15,cincinnati,oh,us,circle,1800,2:30 minutes,Westside of Cincinnati&#44 bright red and blue lights making abrupt U turns and then dropping straight down from the sky&#44 quick as light,1/30/2014,39.1619,-84.4569,2014.0,1.0
1/1/2014 22:30,liberty township,oh,,circle,1800,30 minutes,4-5 white lights circling over a band of trees.,1/10/2014,39.404,-84.4068,2014.0,1.0
1/1/2014 23:00,north myrtle beach,sc,us,fireball,3600,1 hour,Chinese lanterns with orange glow very popular in the Myrtle Beach area.,1/10/2014,33.8158,-78.6803,2014.0,1.0
1/1/2014 23:00,tucson,az,us,light,300,5 minutes,Floating lights.,1/10/2014,32.2217,-110.9258,2014.0,1.0
1/12/2014 0:05,northport,ny,us,diamond,30,30 seconds,Orange orb leading d diamond shaped glowing orange with green white lights in middle heading N over Eaton&#39s Neck&#44 NY.,1/16/2014,40.9008,-73.3436,2014.0,1.0
1/12/2014 0:56,lawton,ok,us,teardrop,5,5 seconds,Very light blue flame heading towards the ground.,1/16/2014,34.6086,-98.39,2014.0,1.0
1/12/2014 10:00,northern cambria,pa,us,circle,180,2-3 minutes,Object with light increasing directly up.,1/16/2014,40.6592,-78.7819,2014.0,1.0
